first_name,second_name,web_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,id,in_dreamteam,news,news_added,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Christian,Pulisic,Pulisic,55,0.0,0.0,176413,0,0,0,0,0,3,0.0,0.0,0,0.0,213,False,Permanent transfer to AC Milan,2023-07-14T08:03:53.480692Z,176413.jpg,0.0,0.0,False,,u,7,8,0,0,0,406,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,798,348,798,348,797,348,798,348,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,103,61,778,335,797,348,744,307,0.0,0.0
Mykhailo,Mudryk,Mudryk,63,100.0,100.0,465920,0,0,-2,2,1,3,1.7,1.7,4,1.7,210,False,,2023-12-29T16:30:09.223051Z,465920.jpg,3.1,0.9,False,,a,7,8,59,153225,814,348069,4404,0.3,9.4,863,3,4,4,14,0,0,0,3,0,0,4,165,210.0,232.9,191.0,63.2,9,2.35,1.73,4.08,12.71,224,92,100,75,123,78,148,79,3.0,,,,,,0.25,0.0,0.18,0.43,1.33,1.46,57,33,201,98,153,70,191,60,0.94,0.42
Nicolas,Jackson,N.Jackson,68,100.0,100.0,517052,0,0,-2,2,1,4,0.3,0.3,1,0.3,211,False,,2023-12-30T22:30:09.623540Z,517052.jpg,3.4,4.1,False,,a,7,8,67,1637694,4510,2759637,10528,0.0,9.9,1476,7,2,4,27,0,0,0,8,0,0,5,216,384.6,245.6,623.0,124.8,16,10.23,1.83,12.06,25.17,78,9,96,8,12,8,30,8,,,,,3.0,,0.62,0.0,0.11,0.73,1.53,1.65,42,16,363,47,117,21,83,15,0.98,0.24
Moisés,Caicedo Corozo,Caicedo,45,100.0,100.0,486672,0,0,-5,5,0,3,2.7,2.7,4,2.7,126,False,,2023-12-24T21:00:09.270040Z,486672.jpg,1.9,1.2,False,,a,7,8,39,113241,2195,318148,2193,0.6,8.7,1580,0,1,4,27,0,0,0,6,0,0,0,231,259.6,212.9,27.0,49.6,18,0.23,0.93,1.16,24.09,179,74,112,79,350,178,195,97,,,,,,,0.01,0.0,0.05,0.06,1.37,1.54,439,257,117,51,315,134,174,56,1.03,0.23
Robert,Sánchez,Sanchez,45,25.0,0.0,215059,0,0,0,0,1,1,0.0,0.0,0,0.0,145,False,Knee injury - 25% chance of playing,2023-12-10T23:00:09.742927Z,215059.jpg,3.7,3.1,False,,d,7,8,59,996722,100,1058464,17093,0.0,13.1,1433,0,0,3,25,0,1,0,2,0,53,7,317,450.6,0.1,0.0,45.2,16,0.00,0.00,0.00,23.72,49,14,492,11,660,78,214,14,,,,,,,0.0,3.33,0.0,0.0,1.49,1.57,385,21,607,88,72,7,106,15,1.0,0.19
Ethan,Ampadu,Ampadu,40,0.0,0.0,199598,0,0,0,0,0,2,0.0,0.0,0,0.0,185,False,Permanent transfer to Leeds Utd,2023-07-20T08:39:43.633400Z,199598.jpg,0.0,0.0,False,,u,7,8,0,0,0,915,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,568,204,553,203,510,189,573,204,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,681,181,429,150,576,200,718,248,0.0,0.0
Christopher,Nkunku,Nkunku,74,100.0,100.0,213198,0,0,-1,1,0,4,2.3,2.3,2,2.3,212,False,,2024-01-06T23:00:11.320847Z,213198.jpg,3.4,1.6,False,,a,7,8,17,474997,8569,484102,28054,0.3,2.3,246,2,0,0,9,0,0,0,0,0,0,2,55,76.8,43.1,138.0,25.5,2,1.66,0.24,1.90,5.18,358,41,335,48,161,41,320,39,,,,,,,0.61,0.0,0.09,0.7,1.9,3.29,24,10,152,25,118,22,151,24,0.73,0.0
Kepa,Arrizabalaga,Arrizabalaga,50,0.0,0.0,109745,0,0,0,0,0,1,0.0,0.0,0,0.0,187,False,One year loan deal to Real Madrid,2023-08-15T08:06:29.726491Z,109745.jpg,0.0,0.2,False,,u,7,8,0,1775,0,84791,56,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,780,92,778,89,773,87,782,92,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,176,6,739,91,780,92,332,51,0.0,0.0
Pierre-Emerick,Aubameyang,Aubameyang,65,0.0,0.0,54694,0,0,0,0,0,4,0.0,0.0,0,0.0,188,False,,2023-07-24T09:59:36.133419Z,54694.jpg,0.0,0.0,False,,u,7,8,0,0,0,2011,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,806,102,806,102,806,102,806,102,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,44,17,796,100,805,102,639,88,0.0,0.0
César,Azpilicueta,Azpilicueta,45,0.0,0.0,41328,0,0,0,0,0,2,0.0,0.0,0,0.0,189,False,Left the club as a free agent,2023-07-06T16:30:03.010661Z,41328.jpg,0.0,0.0,False,,u,7,8,0,0,0,100,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,679,257,668,257,644,253,684,257,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,351,51,589,236,684,255,788,259,0.0,0.0
Abdul Rahman,Baba,Baba,40,0.0,0.0,118335,0,0,0,0,0,2,0.0,0.0,0,0.0,190,False,Permanent Transfer to PAOK,2023-07-13T08:07:47.494096Z,118335.jpg,0.0,0.0,False,,u,7,8,0,0,0,289,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,560,197,545,196,502,182,565,197,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,671,172,420,142,567,192,765,255,0.0,0.0
Benoît,Badiashile,B.Badiashile,44,25.0,100.0,242880,0,0,-1,1,0,2,0.1,0.3,1,0.3,191,False,Muscle injury - 25% chance of playing,2024-02-08T10:30:08.092371Z,242880.jpg,2.2,0.1,False,,d,7,8,18,22114,143,20044,1463,0.1,4.1,559,0,1,1,15,0,0,0,1,0,0,4,123,160.8,40.1,25.0,22.6,6,0.11,0.63,0.74,10.03,271,104,343,116,361,125,334,122,,,,,,,0.02,0.0,0.1,0.12,1.61,2.42,546,113,324,112,264,84,426,165,0.97,0.16
Marcus,Bettinelli,Bettinelli,40,100.0,100.0,122074,0,0,0,0,0,1,0.0,0.0,0,0.0,192,False,,2023-08-03T10:30:04.581002Z,122074.jpg,0.0,0.0,False,,a,7,8,-1,2162,85,2658,64,0.0,-0.2,0,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,562,64,547,47,504,36,567,64,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,673,44,422,56,569,63,581,75,0.0,0.0
Trevoh,Chalobah,Chalobah,43,50.0,50.0,180736,0,0,-2,2,0,2,0.0,0.0,0,0.0,194,False,Lack of match fitness - 50% chance of playing,2023-08-11T16:00:07.662192Z,180736.jpg,0.0,0.0,False,,d,7,8,0,861,15,17108,36,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,641,250,628,250,596,245,645,250,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,606,137,528,218,649,247,538,202,0.0,0.0
Andrey,Nascimento dos Santos,Andrey,42,0.0,100.0,532605,-1,1,-3,3,0,3,0.0,0.0,0,0.0,186,False,Season-long loan to Strasbourg,2024-02-04T18:46:23.165485Z,532605.jpg,1.0,0.1,False,,u,7,8,1,15054,191,21908,592,0.0,0.2,7,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,3.0,0.2,0,0.06,0.00,0.06,0.02,633,237,472,228,436,216,512,233,,,,,,,0.77,0.0,0.0,0.77,0.26,0.0,653,351,510,178,433,195,419,137,0.0,0.0
Carney,Chukwuemeka,Chukwuemeka,42,100.0,100.0,478912,0,0,-3,3,0,3,2.0,2.0,1,2.0,196,False,,2023-10-18T22:00:09.030876Z,478912.jpg,2.4,1.3,False,,a,7,8,12,306640,23210,458376,6894,0.5,2.9,168,1,1,0,4,0,0,0,2,0,0,0,43,63.2,45.4,46.0,15.5,2,0.10,0.27,0.37,3.81,377,164,328,173,291,155,373,168,,,,,,,0.05,0.0,0.14,0.19,2.04,2.14,649,349,155,70,235,105,169,53,1.07,0.0
